EN04009	财政学
EN04011	计量经济学
EN04014	博弈论
EN04016	中国经济改革与发展专题
EN04019	数理经济学
EN04020	现代市场经济运行导论
EN04022	中级宏观经济学
EN05002	西方经济学流派
EN05008	劳动经济学
EN05010	产业经济学
EN06013	旅游经济学
EN10019	毕业实习
EN10020	毕业论文
ET05004	国际金融
ET05010	国际结算（双语）
ET05011	电子商务
ET05012	世界经济概论
ET06001	报关与商检
ET06003	创新经济学
ET06005	发展经济学B
ET06012	经济地理学
ET06013	经济预测与决策B
ET06017	世界贸易组织概论
ET06022	证券投资分析C
ET06028	微观经济分析
ET06029	国际商务谈判
ET06030	运输经济学
ET06031	资源环境经济学
ET06042	商务英语口语
ET06048	公债经济学
ET06049	税务稽查
GE03039	微观经济学
GE03040	宏观经济学
GE03071	宏观经济学
GE03073	经济学原理
GE14008	中国旅游文化与地理
GE14017	生活中的经济学
GE14118	生活中的财政学
GE14142	国际贸易与区域化发展
GE14159	资本论导读
GE15152	改革开放史
ME04029	经济学
ME04038	经济学
20001M	中国特色社会主义理论与实践研究
20002M	自然辩证法概论
20003M	马克思主义与社会科学方法论
GE01101	毛泽东思想和中国特色社会主义理论体系
GE01102	中国近现代史纲要
GE01104	马克思主义基本原理（2）
GE01150	毛泽东思想和中国特色社会主义理论体系概论
GE01151	思政实践
GE01152	思想道德修养与法律基础
GE01153	中国近现代史纲要
GE01154	马克思主义基本原理
GE01156	形势与政策(2)
GE01158	形势与政策(4)
GE01160	形势与政策(6)
GE01172	习近平新时代中国特色社会主义思想概论
GE01174	习近平新时代中国特色社会主义思想概论
GE14014	美国政府与政治
GE14066	电影与哲学
GE14071	科学通史
GE15076	王阳明心学
GE15149	社会主义发展史
GE15150	中国共产党历史
GE15153	新中国史
GE16022	千年学府的美学意蕴
JM03019	政治学原理
MOOC064	孙子兵法与三十六计解读与运用
PR05012	习近平新时代中国特色社会主义思想（2）
DT03016	影像设计与传播
DT03018	三维形体与空间
DT03021	智能设计方法
DT04014	设计批评
DT04026	视觉设计基础
DT04027	工业设计模型
DT04028	工业设计史
DT04066	设计研究方法
DT05021	复杂系统设计
DT05023	专题设计实践
DT05027	互联技术与服务设计
DT05028	人机工程与设计心理学
DT06015	交通工具概念设计
DT06061	高级汽车数字设计技术
DT06064	智能产品设计与开发
DT06065	社会创新设计
DT06066	可用性评估
DT06067	设计统计与数据分析
DT06068	创意包装设计
DT06069	视觉识别设计
DT06070	展示设计
DT06071	城市识别设计
DT06078	广告摄影
DT06084	消费者行为与互联网营销
DT06096	中国传统绘画研习
DT06103	大师工作坊
DT06108	中国传统造物设计
DT07079	物联网硬件与设计创新
DT08080	航空航天装备设计
DT10010	毕业实习
DT10011	毕业论文（设计）
GE15041	西方美术史
BS04011	生物化学实验(2)
BS04022	生物化学(2)
BS04023	微生物学
BS04027	细胞生物学
BS04042	材料科学导论
BS04043	生物医学统计
BS04045	有机化学B
BS05024	酶与发酵工程
BS05025	细胞工程
BS05026	基因工程
BS05030	组织工程学
BS05031	生物医学影像与图像处理
BS05032	生物医学影像与图像处理实验
BS06001	病毒学
BS06012	生化仪器原理与方法
BS06014	生命科学前沿
BS06023	现代免疫学
BS06024	药理学A
BS06028	生物医学工程前沿
BS06029	文献检索和专业英语
BS06041	寄生虫学
BS06046	人体生理学
BS06052	生物统计学
BS06062	生物信息学综合实践
BS06067	植物与环境中的微生物
BS06068	干细胞与再生医学
BS10013	毕业论文
BS10016	微生物学实验
BS10020	细胞生物学实验
GE11049	伴侣动物鉴赏与健康
GE11050	生命科学趣味实验
GE14162	DNA外的遗传密码
GE14163	生命与历史进程
GE14179	疫苗免疫与健康
GE14180	生命的力量
GE14192	生物分子的演化
GE14201	女性健康护理
GE14202	食品微生物学
MOOC004	食品安全
MOOC052	生物材料伴我行
GE14209	身边的传染病
GE14210	饮食营养与健康
GE03003	线性代数A
GE03004	概率论与数理统计A
GE03013	线性代数B
GE03025	高等数学A（1）
GE03026	高等数学A（2）
GE03027	高等数学B（1）
GE03028	高等数学B（2）
GE03036	数学分析B（2）
GE03057	Advanced Calculus  II
GE04001	常微分方程
GE11045	数学建模与数学实验
GE14128	应用统计学
MA03005	高等代数（2）
MA03010	数学分析（2）
MA04002	概率论
MA04004	复变函数
MA04007	偏微分方程
MA05003	实变函数
MA05015	数理统计
MA05016	数值分析（双语）
MA05019	新生导论课
MA06012	李（Lie）群基础
MA06022	微分流形
MA06024	数论基础（双语）
MA06027	测度论
MA06029	图论及其应用
MA06031	常微分方程定性与稳定性理论
MA06038	数据库原理
MA06041	应用随机过程
MA06042	应用回归分析
MA06049	反问题
MA06130	面向对象程序设计
MA10007	毕业论文
MA10012	学科创新训练
MA10019	代数学基础训练(2)
MA10021	分析学基础训练（2）
PR01004	文科数学(2)
PR01006	理科数学（2）
GE01090	体育（2）
GE01092	体育（4）
GE14119	足球文化与技艺
GE14122	中华传统体育文化
GE16003	围棋与传统文化
GE16066	走近电竞
PR01010	体育（2）
AR03034	建筑阴影透视
AR05052	建筑力学
CE04003A	理论力学（中文）
CE04005A	结构力学I（中文）
CE04005B	结构力学I（英文）
CE04024	传热学B
CE04037	土木工程测量
CE04038A	工程地质（中文）
CE04038B	工程地质（英文）
CE04041	流体力学A
CE04048	建筑力学(2)
CE04049	流体力学B
CE04054	工程图学与CAD（2）
CE04062	工程测量
CE04063	工程力学B
CE04075	房屋建筑学
CE05006	建筑给水排水工程
CE05007	水工程经济与概预算
CE05009	水工艺设备、仪表与控制
CE05012	工程造价
CE05021	建筑环境学
CE05022	空调用制冷技术
CE05025	建筑设备自动化
CE05026	供热工程
CE05036	基础工程
CE05070	防灾工程学
CE05072	空气调节
CE05074	建筑能源供应系统
CE05076	工程施工技术
CE05078	施工组织学
CE05079	工程项目管理
CE05083	水质物理化学净化工程
CE05084	水质生物净化工程
CE05086	水处理实验技术
CE05087	弹性力学
CE05089	工程作用与结构设计原则
CE05093A	土力学（中文）
CE05093B	土力学（英文）
CE05102	土木工程概论
CE05103A	土木工程材料（中文）
CE05103B	土木工程材料（英文）
CE06023	工业通风
CE06065	桥梁结构有限元分析
CE06077	隧道工程
CE06088	专业计算方法与最优化
CE06100	交通工程
CE06102	道路施工组织与概预算
CE06111N	多层及高层建筑结构设计
CE06115	路基路面工程
CE06117	道路规划设计
CE06118	桥梁工程（1）
CE06119	混凝土及砌体结构房屋设计
CE06120	建筑施工技术与管理
CE06121	钢及组合结构房屋设计
CE06128	暖通空调设备设计
CE06135	桥梁工程（2）
CE06136	桥梁施工、维护技术与概预算
CE06138	地下结构设计
CE06141	地基处理
CE06149	专业英语
CE06201	钢及组合结构桥梁
CE06202	边坡与支挡结构
CE06203	建筑工程施工组织与概预算
CE10004	水工程经济评价课程设计
CE10023	建筑给水排水课程设计
CE10029	混凝土结构设计原理课程设计
CE10038	钢结构设计原理课程设计
CE10050	毕业实习
CE10051	毕业设计（论文）
CE10071	毕业设计（论文）
CE10072	毕业实习
CE10073	道路规划设计课程设计
CE10075N	建筑学原理课程设计
CE10090	工程造价课程设计
CE10091	项目管理课程设计
CE10092	毕业设计（论文）
CE10096	导师课程
GE02018	土木工程制图
GE13012	水的社会循环与可持续发展
GE13014	土木工程防灾概论
GE13015	土木工程与人类文明
GE13058	土木建筑的功用与魅力
GE13070	桥梁发展史
GE14171	无人机应用技术
GE14186	“碳中和”背景下土木及环境工程的发展趋势(双语)
GE14197	智能交通与安全
GE14208	应用数据分析与建模介绍
20004M	研究生英语
FL03002	综合英语 II
FL03021	英语语音与配音II
FL03029	基础日语（2）
FL03031	文学理论基础
FL03033	英语写作I
FL04023	高级日语(2)
FL04024	英语写作III
FL04027	英汉语言对比
FL04029	英语散文赏析
FL04031	英语诗歌赏析
FL04035	普通语言学
FL04038	基础日语（4）
FL04041	日语语言与文化
FL04042	日语实用写作
FL05057	口译基础
FL05058	英美文学史
FL05060	跨文化交际(适用于日语专业)
FL05062	日汉翻译
FL05064	日本文学史
FL05067	笔译基础
FL05076	古典日语语法
FL05078	汉日笔译理论与实践
FL05080	日本近现代文学
FL05084	日语时文阅读
FL06045	句法语义导论
FL06048	语言习得
FL06049	语用学
FL06050	外语教学法
FL06054	英语电影文学
FL06060	影视翻译
FL06063	同声传译基础
FL06064	笔译工作坊
FL06065	口译工作坊
FL06070	商务英语写作
FL06080	日语敬语概论
FL06082	古代日语语法
FL06088	中国概况(适用于日语专业)
FL06089	中日文化交流史
FL06090	流行文化与日本
FL10005	毕业论文
FL10008	毕业实习
FL10025	日语视听集训（2）
FL10034	专业导论（2）
FL10035	日语专业导论（2）
FL10037	创新创业（2）专业导师研讨课
FL10045	英语听力集训（2）
FL10049	英语经典学期读书报告（2）
FL10051	英语经典学期读书报告（4）
FL10056	日语经典学期读书报告（2）
FL10058	日语经典学期读书报告（4）
GE01013	大学英语（2）
GE01015	大学英语（4）
GE01054	大学德语（1）
GE01058	大学日语（1）
GE01059	大学日语（2）
GE01060	大学日语（3）
GE01061	大学日语（4）
GE01065	二外（3）
GE01068	大学法语（1）
GE01069	大学法语（2）
GE01070	大学法语（3）
GE01071	大学法语（4）
GE01096	大学俄语（1）
GE01097	大学俄语（2）
GE01115	大学英语A（2）
GE01116	英美国家时政与辩论
GE01117	通用学术英语阅读与写作
GE01118	实用英语写作
GE01120	实用英语口语
GE01124	商务英语听说
GE01125	商务英语读写
GE01126	英国文学与文化
GE01129	实用英汉翻译基础
GE01130	高级英语听力（托福）
GE01131	高级英语听力（雅思）
GE01132	高级英语口语（托福）
GE01133	高级英语口语（雅思）
GE01135	英语口语与演讲
GE01136	高级英语写作（托福）
GE01138	高级英语阅读（托福）
GE01139	高级英语阅读（雅思）
GE01145	美国文学与文化
GE01146	中国文化与翻译
GE01148	跨文化口译
GE01166	TED交流与展示
GE01171	 高阶英语(2)
GE01175	二外（1）
GE01180	大学英语B2
GE01183	商务英语综合
GE14160	中日文明交流与互鉴
GE14161	跨文化交际与实务
GE14172	认知神经科学导论
GE14183	语音学和语言学习
GE15020	日本动漫欣赏
GE15023	英美文学选读
GE15077	国际商务文化与沟通
GE15079	创意写作（英语）
GE16011	英语论辩演讲艺术
GE18002	国际交流会议口译
GE18003	国际交流学术英文写作
GE18004	通用学术英语视听说
GE18005	旅游会话俄罗斯
GE18007	英汉语言的功能与使用
PR01008	英语（2）
EI04033	电路
EI04038	电磁场与电磁波
EI04039	量子力学
EI04049	信号与系统
EI05031	电子器件基础
EI05034	半导体集成电路
EI05037	固体物理
EI06015	数字通信原理
EI06053	光波导原理与器件
EI06058	半导体纳米电子器件
EI06060	MATLAB与科学计算
EI06061	CST电磁仿真
EI10001	专业综合实验（1）
EI10022	认识实习
EI10051	毕业设计（论文）
EI10054	科研论文写作
EI10056	数字系统综合实验
GE03005	普通物理A（1）
GE03006	普通物理A（2）
GE03007	普通物理实验A（1）
GE03010	普通物理实验B
GE03058	University  Physics I
GE03060	普通物理实验I
GE03116	机器人基础物理（1）
GE15162	科学看西游
GE16039	昆曲艺术欣赏
PH03001	线性代数
PH05004	光学
PH05020	光电子学基础
PH05021	物理学与光电子学前沿讲座
PH05022	专业综合实验(1)
PH05101	热学
PH05102	电磁学
PH05104	电路分析
PH05107	电动力学
PH05108	量子力学
PH06011	非线性光学
PH06021	电子结构
PH06022	计算物理
PH06024	量子力学专题
PH06025	介观物理
PH06026	微纳结构物理
PH06033	核能技术
PH10011	专业综合课程设计(1)
PH10101	创新创业（科学素养与方法1）
PR05009	基础物理
GE15035	电视文艺
GE15072	书法创作与欣赏
GE18014	广告文案创意写作
JM03007	媒介经营管理概论
JM03013	社会心理学
JM04010	广告学概论
JM04013	传播学概论
JM04023	外国新闻传播史
JM04027	新闻采访与写作
JM04029	广告策划与创意
JM04030	市场调查与分析
JM05029	马克思主义新闻思想
JM05033	新闻评论
JM05035	广告文案写作
JM05037	数字广告设计与制作
JM05039	品牌传播与管理
JM06035	新闻心理学
JM06044	舆论学
JM06047	中西新闻报道比较
JM06049	网络新闻采编
JM06053	广播电视节目策划
JM06064	新媒体经营
JM06065	媒介活动策划
JM06070	公共危机传播管理
JM06071	网页设计与制作
JM06079	广告经典案例评析
JM06083	广告媒体策略与投放
JM06085	电视节目包装与编排
JM06134	新闻传播理论经典导读
JM06136	媒介与视觉文化
JM06138	跨文化传播
JM07003	专业英语
JM10014	毕业设计（论文）
JM10015	毕业实习
MOOC031	广告创意学
PR01012	普通话（2）
TF03020	文化概论
TF03021	传播伦理与法规
TF03025	中国文学作品选读
TF04011	视听语言
TF04013	中外广播电视史
TF04016	广播电视作品评析
TF04020	新闻学原理
TF04021	新闻采访与写作
TF04024	新闻传播伦理与法规
TF04029	摄影摄像基础
TF05019	电视艺术概论
TF05031	纪录片创作
TF05032	电视艺术片创作
TF05060	新闻播音
TF05062	文艺作品演播
TF05066	电视节目主持（2）
TF05070	电视综艺节目制作
TF05071	网络编辑
TF05090	播音主持语音与发声1、2
TF06037	音频节目制作
TF06071	广播电视写作
TF06072	文化创意概论
TF06080	播音精品鉴赏
TF06081	化妆与形象设计
TF06082	节目主持人研究
TF06086	配音艺术
TF06088	电视综艺节目制作
TF06093	网络编辑
TF10001	专业见习
TF10026	毕业论文（设计）
TF10052	毕业实习
A2010008M	信息论与编码
CS04026	网络系统实验
CS04030	离散数学
CS04031	数据结构与算法
